[ 3058567734, 506984521 ]
[ 1215492372, 2432262570 ]
[ 2184656605, 414263009 ]
[ 3168909590, 3223825712 ]
[ 154480700, 1312618117 ]
[ 2664979708, 2249889089 ]
[ 2999672752, 362969508 ]
[ 1658570415, 1091882415 ]
[ 690553551, 4031117459 ]
[ 466890076, 2493957287 ]
[ 4054488983, 1524385953 ]
[ 451620155, 3012595058 ]
[ 3972707345, 87915562 ]
[ 745964601, 3137012780 ]
[ 3457869186, 1352467942 ]
[ 699288569, 2118687020 ]
[ 1829552097, 2754598793 ]
[ 3026235795, 2701810047 ]
[ 3122333726, 280530396 ]
[ 4075528778, 3445476839 ]
[ 3671057919, 1773829516 ]
[ 1219538155, 2039244660 ]
[ 1858786184, 897452574 ]
[ 1904935446, 2747871419 ]
[ 2264798657, 1022583646 ]
[ 1772172443, 387483987 ]
[ 2670640277, 2046761905 ]
[ 4127597150, 4039976017 ]
[ 3497096868, 177321086 ]
[ 3227234324, 3794240815 ]
[ 2664040548, 2171012973 ]
[ 1309802903, 2668062696 ]
[ 304997126, 2106619800 ]
[ 1832940676, 3145408831 ]
[ 46685702, 3190118828 ]
[ 3447874708, 2818044364 ]
[ 3681908401, 1108270650 ]
[ 2203811249, 3483930214 ]
[ 1444739296, 404762821 ]
[ 3188380796, 2866773263 ]
[ 223804104, 3007615457 ]
[ 3189137404, 2909184741 ]
[ 225241282, 2465539694 ]
[ 3256880243, 1844874719 ]
[ 1163190171, 2976317952 ]
[ 1881533675, 683870790 ]
[ 639338899, 4263926497 ]
[ 972708642, 4278168682 ]
[ 78506392, 1864339508 ]
[ 2076053856, 671207215 ]
[ 1407717805, 1264708481 ]
[ 3368444598, 3340227831 ]
[ 3819640119, 188764679 ]
[ 467072248, 1902462802 ]
[ 1001307004, 4190509654 ]
[ 2381732687, 1257997998 ]
[ 1292777710, 2307009825 ]
[ 2798843699, 710771599 ]
[ 1527948150, 640379291 ]
[ 1214234431, 2547786825 ]
[ 3257028902, 4234603064 ]
[ 446989903, 2924684395 ]
[ 1673207180, 1107936376 ]
[ 553806602, 165545749 ]
[ 1024298426, 3540032851 ]
[ 1377911715, 2969955803 ]
[ 3632065487, 1445371331 ]
[ 3178165215, 822344907 ]
[ 3352630096, 3804758945 ]
[ 1120701725, 1634458388 ]
[ 4066009149, 756654667 ]
[ 1555843445, 82009290 ]
[ 3193292189, 3398444643 ]
[ 2331793573, 2843733606 ]
[ 303128075, 967238325 ]
[ 805017607, 3322960589 ]
[ 2876822165, 1565760050 ]
[ 2235085655, 2007357262 ]
[ 3080946699, 2564012926 ]
[ 3800661252, 125384410 ]
[ 2299374998, 3764833357 ]
[ 3233536918, 3551820002 ]
[ 1423295689, 1433479256 ]
[ 1555857323, 2467494671 ]
[ 1522774485, 2265448516 ]
[ 3154271433, 4232612211 ]
[ 1610283621, 2679512931 ]
[ 290582943, 1276730203 ]
[ 537784424, 527477182 ]
[ 2716093192, 3669002575 ]
[ 2861172695, 1305302197 ]
[ 3002470343, 4084638719 ]
[ 3730672936, 2382211433 ]
[ 1735831670, 2681119515 ]
[ 3923166396, 822697374 ]
[ 2886237154, 694253697 ]
[ 1897396042, 1193050981 ]
[ 3306405393, 4085691860 ]
[ 286915909, 833309769 ]
[ 3059052401, 2919712467 ]
[ 4079713984, 3463102404 ]
[ 1166731135, 310296811 ]
[ 438300513, 832556324 ]
[ 2754327932, 1477023756 ]
[ 2460500925, 534146984 ]
[ 1922903091, 2335719537 ]
[ 2454389418, 175824196 ]
[ 3342722564, 2956931451 ]
[ 126554444, 1963022705 ]
[ 2018742238, 741029769 ]
[ 3114091713, 3517429381 ]
[ 2359580024, 805356062 ]
[ 3429310300, 3502522199 ]
[ 288324172, 2433076089 ]
[ 4051931338, 4109552257 ]
[ 2612669479, 853932725 ]
[ 162487977, 2598680231 ]
[ 4058362217, 2346128511 ]
[ 3585266873, 4039747615 ]
[ 2356541101, 1490363936 ]
[ 3093499642, 2896735317 ]
[ 1746325287, 3828212456 ]
[ 2621173906, 3976058903 ]
[ 153741127, 2564625026 ]
[ 957494045, 2318322350 ]
[ 2931504471, 974535113 ]
[ 1017090409, 1028191083 ]
[ 2189931464, 917493452 ]
[ 592786487, 479325354 ]
[ 2499115957, 1857737131 ]
[ 2608781291, 1835529962 ]
[ 2841052256, 2517540237 ]
[ 51210581, 458525668 ]
[ 21335809, 603053270 ]
[ 3803968378, 2181201371 ]
[ 2005029039, 1844114908 ]
[ 3327657900, 1872580367 ]
[ 1946368372, 3517281925 ]
[ 3156788105, 3974385877 ]
[ 4181835968, 3299651546 ]
[ 2836258569, 3418971205 ]
[ 4275056241, 1653485540 ]
[ 3171410824, 2571681307 ]
[ 3631643715, 1867754767 ]
[ 1081347720, 3504578424 ]
[ 1929401287, 4207257540 ]
[ 2395757468, 2332602785 ]
[ 3188028573, 994399429 ]
[ 1325968490, 2763850961 ]
[ 2841105897, 940002386 ]
[ 1033306345, 3667581419 ]
[ 4106656646, 1741901444 ]
[ 1586636022, 1270644373 ]
[ 3045682818, 681224489 ]
[ 78111353, 987961976 ]
[ 1197714364, 4241325747 ]
[ 4140631046, 3838450408 ]
[ 3394509311, 4149391817 ]
[ 2539194704, 596186990 ]
[ 2073785249, 2191543579 ]
[ 2400837336, 1991163781 ]
[ 4112994460, 843479019 ]
[ 3488090868, 173849003 ]
[ 326503811, 2688051086 ]
[ 81975704, 1903825798 ]
[ 2876384587, 3121786002 ]
[ 2750893739, 3764665263 ]
[ 533055468, 4234097510 ]
[ 2865737303, 3491158743 ]
[ 4229506889, 1970139618 ]
[ 234420038, 3516703329 ]
[ 1207123237, 237166014 ]
[ 3755965154, 840989461 ]
[ 2282257689, 871046967 ]
[ 2098435150, 3915191456 ]
[ 3516426642, 1833977407 ]
[ 4124467075, 1726301534 ]
[ 1005030797, 1187212693 ]
[ 814959884, 2158406817 ]
[ 642801531, 3672527893 ]
[ 346717920, 3094096356 ]
[ 4072503466, 4254377706 ]
[ 77926071, 2357840386 ]
[ 1994479024, 1154829458 ]
[ 3554652925, 955986287 ]
[ 119496622, 1985242492 ]
[ 845351195, 3360347644 ]
[ 154233611, 2302256253 ]
[ 285258163, 1762330144 ]
[ 2264987568, 678633195 ]
[ 3902387565, 45461368 ]
[ 3390249667, 193319192 ]
[ 1061426026, 1805724872 ]
[ 2221132785, 1326904926 ]
[ 1065461244, 3109076138 ]
[ 2227074315, 394129047 ]
[ 3860867541, 1180143011 ]
[ 507539975, 454592079 ]
[ 1135946327, 293439930 ]
[ 3482819395, 146040761 ]
[ 2296894784, 4062127011 ]
[ 1400600615, 1852592248 ]
[ 963070151, 3064357548 ]
[ 2872954931, 4040351148 ]
[ 3592838591, 4045121017 ]
[ 1400766535, 2350263352 ]
[ 1560748068, 3022064626 ]
[ 3862987892, 2787642443 ]
[ 1303423478, 1386173405 ]
[ 1918564970, 3394101534 ]
[ 214379936, 467219953 ]
[ 3372753532, 3071006111 ]
[ 1522012643, 2199351370 ]
[ 1769608621, 1958558835 ]
[ 3387476304, 1269395196 ]
[ 700567750, 1120062711 ]
[ 2157261288, 3771839820 ]
[ 2561884446, 613140965 ]
[ 3006976091, 1671069337 ]
[ 1660795372, 992139829 ]
[ 1736929997, 2632707189 ]
[ 3402042339, 3338307729 ]
[ 2416230454, 4001583756 ]
[ 2502852566, 4146246015 ]
[ 615969328, 1026450167 ]
[ 1352983021, 2359058175 ]
[ 3749809607, 3104653578 ]
[ 786298879, 3326185195 ]
[ 1740581653, 3611726218 ]
[ 3166651104, 3861173692 ]
[ 2518513405, 446951274 ]
[ 1498072177, 3092380685 ]
[ 2629047366, 1667569170 ]
[ 4130636795, 2375276888 ]
[ 3627777620, 1524756453 ]
[ 3190373709, 2026686787 ]
[ 2320907326, 1018943551 ]
[ 4128949157, 3743025052 ]
[ 3742891550, 4246167169 ]
[ 4217738306, 2041647353 ]
[ 2901537590, 3197181589 ]
[ 1518495244, 4284563248 ]
[ 2488283038, 3952511002 ]
[ 2006631997, 3020060892 ]
[ 1728544654, 1041316570 ]
[ 3616746163, 2122259541 ]
[ 209807690, 3124169770 ]
[ 2123972655, 305768666 ]
[ 3074515119, 1978471863 ]
[ 4209473236, 2866530994 ]
[ 1112972816, 628991210 ]
[ 4284105772, 3083432616 ]
[ 2391971308, 1766490787 ]
[ 666132414, 3792255474 ]
[ 3614976171, 2808401750 ]
[ 3062927839, 1213817096 ]
[ 566270336, 1303849264 ]
[ 591954039, 1737766075 ]
[ 264312075, 3666887967 ]
[ 1452462156, 856104946 ]
[ 2556005946, 3335459483 ]
[ 3681687558, 1471496507 ]
[ 2676998923, 710885908 ]
[ 1416545483, 4114172994 ]
[ 808467206, 1177395145 ]
[ 211941563, 3236364052 ]
[ 3058235628, 3270531787 ]
[ 19326938, 4048059670 ]
[ 902967634, 301502357 ]
[ 2876973967, 1670721403 ]
[ 2508311978, 1716754744 ]
[ 2045710832, 4214652724 ]
[ 2145859622, 3624035351 ]
[ 2246716123, 401579521 ]
[ 3479531267, 3637115290 ]
[ 3763585130, 1093948009 ]
[ 1119607594, 1506381770 ]
[ 1140293356, 3284959438 ]
[ 1967387170, 1453601628 ]
[ 46197342, 1105955721 ]
[ 3431254029, 1569785259 ]
[ 4252566317, 853949815 ]
[ 1634454667, 2493657795 ]
[ 509461347, 3167936450 ]
[ 4033574964, 2364228945 ]
[ 3345882431, 4097400683 ]
[ 3278545498, 2770547640 ]
[ 1715833864, 2678529804 ]
[ 1942701745, 2999007081 ]
[ 3788725954, 1906699451 ]
[ 1400555432, 2397468833 ]
[ 2372896618, 640765367 ]
[ 1057533316, 629428355 ]
[ 1341424330, 1108731768 ]
[ 1026351344, 1938935098 ]
[ 3113345674, 3013261488 ]
[ 3934018619, 1433674904 ]
[ 2577459515, 3693054877 ]
[ 3137375272, 1278628154 ]
[ 3542659404, 803417182 ]
[ 2234941389, 342151296 ]
[ 1951677994, 704180285 ]
[ 3896386864, 3020381854 ]
[ 4107612287, 1390561441 ]
[ 1528458317, 2878811939 ]
[ 4109745881, 850923167 ]
[ 3997798845, 4065926685 ]
[ 3376039703, 3474591311 ]
[ 2762510714, 3177814783 ]
[ 1580604025, 808929713 ]
[ 1106797409, 2809158588 ]
[ 1622299491, 245138211 ]
[ 708682110, 3661092489 ]
[ 4112018728, 242735668 ]
[ 455647987, 1693722148 ]
[ 3222611981, 3096391744 ]
[ 626529357, 1713328827 ]
[ 3413708917, 3247114610 ]
[ 3927079243, 3421284735 ]
[ 3078922107, 2966923338 ]
[ 701435326, 227586011 ]
[ 2889931069, 1205641864 ]
[ 1924688271, 4258199986 ]
[ 1461078196, 103199187 ]
[ 2440938533, 3515133711 ]
[ 2529236022, 3050342609 ]
[ 2861780552, 952570031 ]
[ 1573990303, 2012902908 ]
[ 1210837179, 3507777276 ]
[ 1020701416, 3295560797 ]
[ 4127140474, 2789889084 ]
[ 2858518257, 3847088546 ]
[ 2587931263, 1619514094 ]
[ 1864201111, 1248783931 ]
[ 2491337242, 340857965 ]
[ 3115583441, 2054696494 ]
[ 646936132, 3645848744 ]
[ 1616940561, 397251161 ]
[ 206354455, 3664849121 ]
[ 1815458112, 3338323435 ]
[ 1489172347, 3377237830 ]
[ 1241852392, 3614350497 ]
[ 77976167, 1245247299 ]
[ 1851523781, 3272833187 ]
[ 2133970032, 356248268 ]
[ 2163932986, 937713924 ]
[ 3711589785, 523216832 ]
[ 4051416799, 2443923079 ]
[ 2770107941, 4027711327 ]
[ 2180977443, 2646062398 ]
[ 3137898396, 3212243702 ]
[ 963761959, 3250757980 ]
[ 583372771, 3242813389 ]
[ 289330896, 3441198922 ]
[ 3121790714, 3343243515 ]
[ 2259119300, 3209600329 ]
[ 500952223, 3128510976 ]
[ 3618225259, 2421340612 ]
[ 2425737298, 4137165241 ]
[ 2795760519, 3535294026 ]
[ 2392428203, 2121486670 ]
[ 450665191, 1816947450 ]
[ 693392325, 2112033082 ]
[ 3700062788, 2942307400 ]
[ 1660142249, 2819510051 ]
[ 313791007, 22758022 ]
[ 982126645, 1422569544 ]
[ 1166251246, 3282263813 ]
[ 2388730306, 430156135 ]
[ 1784486018, 2457371548 ]
[ 2593432327, 2714570376 ]
[ 55194865, 3513868572 ]
[ 2103294689, 3942538788 ]
[ 1934151361, 3287886325 ]
[ 1849567531, 3017150147 ]
[ 3121889329, 3454253637 ]
[ 3460531517, 2407492402 ]
[ 3758570444, 1478497613 ]
[ 3590990571, 1577029763 ]
[ 1362179926, 630944896 ]
[ 766243907, 4130786943 ]
[ 4100406693, 4126576727 ]
[ 2412429817, 1378172977 ]
[ 2249897700, 1073458288 ]
[ 156018960, 646326612 ]
[ 1087177734, 1490959768 ]
[ 2065129965, 1514580731 ]
[ 2961600904, 3951584221 ]
[ 4062624171, 1944850681 ]
[ 1522423516, 1460609508 ]
[ 772641519, 1675845597 ]
[ 2326493119, 1763922074 ]
[ 2113895330, 2381140695 ]
[ 980595491, 2316441586 ]
[ 19460926, 3768998808 ]
[ 3715863384, 2649876204 ]
[ 2462331022, 3745879781 ]
[ 2130351110, 4231992836 ]
[ 3819761810, 129664880 ]
[ 2293561447, 13658981 ]
[ 2036758591, 936432958 ]
[ 775006245, 564598834 ]
[ 562145644, 2711669548 ]
[ 1250362165, 2941209147 ]
[ 767906375, 520368404 ]
[ 3818608762, 1060487154 ]
[ 1444041150, 2959602677 ]
[ 3767201877, 2327824766 ]
[ 2753760168, 3589309013 ]
[ 364653002, 3467155768 ]
[ 37929741, 3928669034 ]
[ 1622205854, 3291984707 ]
[ 2318350931, 3431429175 ]
[ 4126896821, 540894798 ]
[ 1763923521, 2683517470 ]
[ 2074112793, 128783765 ]
[ 2325929123, 2808114374 ]
[ 99114500, 2930537232 ]
[ 2621172153, 3494106436 ]
[ 2545151608, 1027741111 ]
[ 2975656921, 430926168 ]
[ 4126603047, 1802573583 ]
[ 3280950887, 1777057531 ]
[ 1087633767, 4068715007 ]
[ 3509671500, 1323241667 ]
[ 2937904140, 3430307245 ]
[ 2790457653, 25296058 ]
[ 66278478, 1949579642 ]
[ 737807990, 4229587226 ]
[ 4037546416, 2004503145 ]
[ 223125206, 3183690095 ]
[ 3689396929, 3967214198 ]
[ 2586416254, 1104093676 ]
[ 1827754337, 1554218895 ]
[ 1316097273, 3731798666 ]
[ 3444220971, 3277567429 ]
[ 2387375688, 3971671668 ]
[ 4251211885, 959749786 ]
[ 3717740161, 1770778667 ]
[ 4100456892, 824235941 ]
[ 1587249240, 1904056167 ]
[ 1192058075, 3534069140 ]
[ 669346542, 3115909245 ]
[ 218257427, 986944684 ]
[ 539255351, 254423457 ]
[ 1003821218, 61064355 ]
[ 2261113985, 1964110795 ]
[ 1122029363, 194568610 ]
[ 124059766, 1586997201 ]
[ 4186548051, 2543377969 ]
[ 3612222132, 214352485 ]
[ 1883392249, 2684038102 ]
[ 2198879886, 3538484449 ]
[ 2727271894, 1739772732 ]
[ 2412006895, 935968644 ]
[ 3496534502, 3655107662 ]
[ 3804044377, 563998113 ]
[ 4171542351, 640764873 ]
[ 4213016736, 159367157 ]
[ 610549649, 1936547040 ]
[ 1384501180, 3301561888 ]
[ 1060296338, 265048601 ]
[ 3600998422, 617126589 ]
[ 1906087672, 2303529473 ]
[ 4232466941, 924023472 ]
[ 1653247938, 3479185752 ]
[ 695930169, 3543959407 ]
[ 1523428926, 3455936936 ]
[ 2368578097, 2304162522 ]
[ 2973039298, 2193678564 ]
[ 199355676, 4056036587 ]
[ 3379624748, 109666970 ]
[ 4260479097, 3666437772 ]
[ 2151346260, 3649658443 ]
[ 2585484614, 4237564184 ]
[ 1852852957, 3600015619 ]
[ 3267780947, 2264913395 ]
[ 2895410370, 2793758447 ]
[ 2750704048, 3124854778 ]
[ 264582376, 2051434237 ]
[ 2455951092, 3864419263 ]
[ 133787591, 434782641 ]
[ 3242802248, 1176318115 ]
[ 1147127492, 352443306 ]
[ 3246926273, 675109036 ]
[ 200119233, 2487374736 ]
[ 3519174492, 1983466962 ]
[ 3637804673, 4083727652 ]
[ 3738970719, 132824444 ]
[ 3341384704, 3822974862 ]
[ 373794722, 2518011031 ]
[ 732930353, 2480071609 ]
[ 4265073052, 3761427014 ]
[ 103567019, 2229378572 ]
[ 2635232916, 2673618573 ]
[ 2199585230, 1647216786 ]
[ 849503431, 3734985001 ]
[ 189955557, 3878206101 ]
[ 3211795286, 3394573138 ]
[ 1139432034, 919714035 ]
[ 32782994, 1043701652 ]
[ 391969661, 1029785499 ]
[ 2839539648, 2848387686 ]
[ 1548390058, 2486519296 ]
[ 3272268464, 997138030 ]
[ 3046744939, 2897701893 ]
[ 1726230452, 669184120 ]
[ 3088620589, 4034261717 ]
[ 418371734, 786774037 ]
[ 2794801326, 1612294084 ]
[ 1422461150, 2518597469 ]
[ 4047214483, 3017450126 ]
[ 1517918572, 1315426329 ]
[ 1421548758, 2385395357 ]
[ 1536232924, 969701256 ]
[ 2064345235, 1500161489 ]
[ 1445584339, 2470101180 ]
[ 2471587033, 893565844 ]
[ 3764159008, 1323848909 ]
[ 1822622596, 2384576915 ]
[ 211686272, 4263901874 ]
[ 3480577737, 2791348990 ]
[ 2074462166, 4184318685 ]
[ 2834905002, 2008443390 ]
[ 140820631, 3601647938 ]
[ 2680472775, 2041587937 ]
[ 3733058018, 3599572811 ]
[ 2148713178, 3131874514 ]
[ 132963947, 2604715846 ]
[ 3246483597, 2654711161 ]
[ 1712051939, 3352015165 ]
[ 3653639157, 863923720 ]
[ 4200626929, 2888476686 ]
[ 2839341067, 3964030297 ]
[ 2202971574, 2818680476 ]
[ 2170619452, 374751405 ]
[ 3107267796, 277664649 ]
[ 842318330, 569375371 ]
[ 1567151973, 812646965 ]
[ 2157187209, 3374897616 ]
[ 1613548158, 3283536240 ]
[ 504432533, 1956552172 ]
[ 812371112, 2941747572 ]
[ 363963937, 2158762159 ]
[ 1916908754, 2126035357 ]
[ 3741057585, 2380251344 ]
[ 3566914223, 2641547595 ]
[ 1223033752, 1150446732 ]
[ 613284084, 3116498725 ]
[ 2757247264, 2923282520 ]
[ 4159301633, 891727238 ]
[ 3949210475, 2401142314 ]
[ 1901388743, 628262057 ]
[ 365364191, 3880129330 ]
[ 4068232084, 3871011925 ]
[ 1778254006, 2464158949 ]
[ 2967301493, 3141779999 ]
[ 3177554870, 1854280122 ]
[ 297185292, 2079585281 ]
[ 1739940187, 293692206 ]
[ 3941584632, 208790545 ]
[ 1800016864, 2923079096 ]
[ 1529694000, 159572284 ]
[ 4071322816, 4113381206 ]
[ 3696138380, 4051834899 ]
[ 2793614059, 3006539125 ]
[ 3998675056, 3265825031 ]
[ 3149794719, 4032568392 ]
[ 1018184035, 2043767586 ]
[ 741587298, 2001721320 ]
[ 3847938931, 2137756375 ]
[ 597633236, 3973196152 ]
[ 4084354249, 3029635396 ]
[ 1113687958, 303617793 ]
[ 2449071935, 2302993515 ]
[ 3122810033, 1516832637 ]
[ 941871356, 1914293339 ]
